move_id,slug,name,style,from_position,best_score,video_url,video_title,content_type
00000000-0000-0000-0002-000000000046,hiplock,Hiplock,folkstyle,clinch-bodylock,0.00,,,
00000000-0000-0000-0002-000000000024,inside-tie-double,Inside Tie — Level Change Double,folkstyle,inside-tie,1.00,https://www.youtube.com/watch?v=SfmLZMiUEUM,Double Leg Inside Step,technique
00000000-0000-0000-0002-000000000016,inside-tie-entry,Inside Tie Entry,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=iAgE1NmnGU0,Inside Tie & Elbow Tie,technique
00000000-0000-0000-0002-000000000025,inside-tie-hic,Inside Tie — Level Change Hi-C,folkstyle,inside-tie,1.00,https://www.youtube.com/watch?v=witUsu1OzX8,High Crotch Inside Step Penetration,technique
00000000-0000-0000-0002-000000000023,inside-tie-snap-down,Inside Tie — Snap Down,folkstyle,inside-tie,1.00,https://www.youtube.com/watch?v=-Xi74uWT0vU,Head Snap,technique
00000000-0000-0000-0002-000000000026,inside-tie-to-underhook,Inside Tie to Underhook,folkstyle,inside-tie,1.00,https://www.youtube.com/watch?v=j3869U-uCCo,Neutral Position - Underhooks Head Position,technique
00000000-0000-0000-0002-000000000110,leg-ride,Leg Ride,folkstyle,back-control-top,0.00,,,
00000000-0000-0000-0002-000000000001,level-change-double,Level Change — Double Leg,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=8FyeXO4rviw,Double Leg,technique
00000000-0000-0000-0002-000000000002,level-change-hic,Level Change — Hi-C,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=witUsu1OzX8,High Crotch Inside Step Penetration,technique
00000000-0000-0000-0002-000000000003,level-change-single,Level Change — Single Leg,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=0BPnLWYBY1I,Single Leg,technique
00000000-0000-0000-0002-000000000007,low-single,Low Single,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=wGwm0qVbu4M,Snatch Single,technique
00000000-0000-0000-0002-000000000044,overhook-peek-out,Overhook — Peek Out,folkstyle,overhook,0.00,,,
